Movie Name,Genre,Runtime,Rating
Eden,N/A,N/A,6.5
The Substance,N/A,N/A,7.2
Bone Lake,N/A,N/A,5.8
Shelby Oaks,N/A,N/A,5.8
Nosferatu,N/A,N/A,7.1
The Life of Chuck,N/A,N/A,7.3
Wicked,N/A,N/A,7.4
Heretic,N/A,N/A,7.0
Longlegs,N/A,N/A,6.6
Trap,N/A,N/A,5.8
Beetlejuice Beetlejuice,N/A,N/A,6.6
Anora,N/A,N/A,7.4
Shell,N/A,N/A,4.9
Challengers,N/A,N/A,7.0
Dune: Part Two,N/A,N/A,8.4
The Brutalist,N/A,N/A,7.3
Relay,N/A,N/A,7.0
Smile 2,N/A,N/A,6.7
The Unholy Trinity,N/A,N/A,5.5
Terrifier 3,N/A,N/A,6.3
A Complete Unknown,N/A,N/A,7.3
Friendship,N/A,N/A,6.7
Culpa tuya,N/A,N/A,5.2
Megalopolis,N/A,N/A,4.7
The Wild Robot,N/A,N/A,8.2
All of You,N/A,N/A,6.3
Speak No Evil,N/A,N/A,6.8
The Ministry of Ungentlemanly Warfare,N/A,N/A,6.8
Babygirl,N/A,N/A,5.8
Deadpool & Wolverine,N/A,N/A,7.5
Kinds of Kindness,N/A,N/A,6.5
MaXXXine,N/A,N/A,6.2
Mahavatar Narsimha,N/A,N/A,8.7
Gladiator II,N/A,N/A,6.5
Alien: Romulus,N/A,N/A,7.1
Kraven the Hunter,N/A,N/A,5.5
Ghostbusters: Frozen Empire,N/A,N/A,6.1
Civil War,N/A,N/A,7.0
Presence,N/A,N/A,6.1
Flow,N/A,N/A,7.9
40 Acres,N/A,N/A,6.5
Oddity,N/A,N/A,6.7
Fight or Flight,N/A,N/A,6.4
It Ends with Us,N/A,N/A,6.3
Tell Me What You Want,N/A,N/A,3.9
The Strangers: Chapter 1,N/A,N/A,4.7
We Live in Time,N/A,N/A,7.0
The Order,N/A,N/A,6.8
Carry-On,N/A,N/A,6.5
The Count of Monte-Cristo,N/A,N/A,7.6
